Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,has_cabin,family_size,is_alone,fare_per_person,title,age_group,deck,fare_bin,sex_encoded,Embarked_C,Embarked_Q,Embarked_S,title_Miss,title_Mr,title_Mrs,title_Rare,age_group_encoded,fare_bin_encoded,class_avg_fare,class_survival_rate
0,3,male,-0.5348911628688888,1,0,-0.5641087873940192,S,0,0.059159876663617654,0,-0.5476058507246607,Mr,Adult,Unknown,Low,0,False,False,True,False,True,False,False,2,0,-0.4129202803998143,0.24236252545824846
1,1,female,0.668391756456122,1,0,0.9425480546638042,C,1,0.059159876663617654,0,0.5808979535718629,Mrs,Adult,Known,VHigh,1,True,False,False,False,False,True,False,2,3,1.1503396270376525,0.6296296296296297
1,3,female,-0.23407043303763614,0,0,-0.5482265297501209,S,0,-0.5609748304808926,1,-0.39604201258184907,Miss,Adult,Unknown,Medium,1,False,False,True,True,False,False,False,2,1,-0.4129202803998143,0.24236252545824846
1,1,female,0.4427762090826825,1,0,0.5147082688618854,S,1,0.059159876663617654,0,0.26044089100184115,Mrs,Adult,Known,VHigh,1,False,False,True,False,False,True,False,2,3,1.1503396270376525,0.6296296296296297
0,3,male,0.4427762090826825,0,0,-0.5452853709271768,S,0,-0.5609748304808926,1,-0.39163608705444175,Mr,Adult,Unknown,Medium,0,False,False,True,False,True,False,False,2,1,-0.4129202803998143,0.24236252545824846
0,3,male,-0.3092756154954493,0,0,-0.5356783697479122,Q,0,-0.5609748304808926,1,-0.3772445719117185,Mr,Adult,Unknown,Medium,0,False,True,False,False,True,False,False,2,1,-0.4129202803998143,0.24236252545824846
0,1,male,1.8716746757811331,0,0,0.48559079651473835,S,1,-0.5609748304808926,1,1.1526408103018226,Mr,Adult,Known,VHigh,0,False,False,True,False,True,False,False,2,3,1.1503396270376525,0.6296296296296297
0,3,male,-2.038994812025152,3,1,-0.23881662157639919,S,0,1.9195639980971484,0,-0.5268098822352982,Master,Child,Unknown,High,0,False,False,True,False,False,False,False,0,2,-0.4129202803998143,0.24236252545824846
1,3,female,-0.15886525057982295,0,2,-0.4727375709369079,S,0,0.6792945838081279,0,-0.5445710492213827,Mrs,Adult,Unknown,Medium,1,False,False,True,False,False,True,False,2,1,-0.4129202803998143,0.24236252545824846
1,2,female,-1.1365326225313943,1,0,-0.02715200926087325,C,0,0.059159876663617654,0,-0.14541886962123327,Mrs,Teen,Unknown,High,1,True,False,False,False,False,True,False,1,2,-0.24852990089034865,0.47282608695652173
1,3,female,-1.888584447109526,1,1,-0.3417571803794435,S,1,0.6792945838081279,0,-0.47916714086560047,Miss,Child,Known,High,1,False,False,True,True,False,False,False,0,2,-0.4129202803998143,0.24236252545824846
1,1,female,2.172495405612386,0,0,-0.10999386513144656,S,1,-0.5609748304808926,1,0.26044089100184115,Miss,Adult,Known,High,1,False,False,True,True,False,False,False,2,2,1.1503396270376525,0.6296296296296297
0,3,male,-0.6853015277845153,0,0,-0.5452853709271768,S,0,-0.5609748304808926,1,-0.39163608705444175,Mr,Adult,Unknown,Medium,0,False,False,True,False,True,False,False,2,1,-0.4129202803998143,0.24236252545824846
0,3,male,0.7435969389139353,1,5,0.0011819383758412622,S,0,3.159833412386169,0,-0.5178973243112858,Mr,Adult,Unknown,VHigh,0,False,False,True,False,True,False,False,2,3,-0.4129202803998143,0.24236252545824846
0,3,female,-1.1365326225313943,0,0,-0.5498924021074365,S,0,-0.5609748304808926,1,-0.39853752880057264,Miss,Teen,Unknown,Low,1,False,False,True,True,False,False,False,1,0,-0.4129202803998143,0.24236252545824846
1,2,female,1.9468798582389462,0,0,-0.3582276697879306,S,0,-0.5609748304808926,1,-0.11141922351133644,Mrs,Adult,Unknown,High,1,False,False,True,False,False,True,False,2,2,-0.24852990089034865,0.47282608695652173
0,3,male,-2.038994812025152,4,1,-0.04940599337879763,Q,0,2.539698705241659,0,-0.5042809163718222,Master,Child,Unknown,High,0,False,True,False,False,False,False,False,0,2,-0.4129202803998143,0.24236252545824846
1,2,male,0.0667502967936166,0,0,-0.42881548153858956,S,0,-0.5609748304808926,1,-0.21716143616911204,Mr,Adult,Unknown,Medium,0,False,False,True,False,True,False,False,2,1,-0.24852990089034865,0.47282608695652173
0,3,female,0.1419554792514298,1,0,-0.31116912862082463,S,0,0.059159876663617654,0,-0.35815105304614614,Mrs,Adult,Unknown,High,1,False,False,True,False,False,True,False,2,2,-0.4129202803998143,0.24236252545824846
1,3,female,-0.5724937540977955,0,0,-0.564697019158608,C,0,-0.5609748304808926,1,-0.42071519553533004,Mrs,Adult,Unknown,Low,1,True,False,False,False,False,True,False,2,0,-0.4129202803998143,0.24236252545824846
0,2,male,0.4427762090826825,0,0,-0.12293496395240072,S,0,-0.5609748304808926,1,0.2410548186812489,Mr,Adult,Unknown,High,0,False,False,True,False,True,False,False,2,2,-0.24852990089034865,0.47282608695652173
1,2,male,0.36757102662486935,0,0,-0.42881548153858956,S,1,-0.5609748304808926,1,-0.21716143616911204,Mr,Adult,Known,Medium,0,False,False,True,False,True,False,False,2,1,-0.24852990089034865,0.47282608695652173
1,3,female,-1.0613274400735813,0,0,-0.5457747797553147,Q,0,-0.5609748304808926,1,-0.39236923306220234,Miss,Teen,Unknown,Medium,1,False,True,False,True,False,False,False,1,1,-0.4129202803998143,0.24236252545824846
1,1,male,-0.08366006812200977,0,0,0.10059310659135266,S,1,-0.5609748304808926,1,0.575905158764205,Mr,Adult,Known,VHigh,0,False,False,True,False,True,False,False,2,3,1.1503396270376525,0.6296296296296297
0,3,female,-1.5877637172782735,3,1,-0.23881662157639919,S,0,1.9195639980971484,0,-0.5268098822352982,Miss,Child,Unknown,High,1,False,False,True,True,False,False,False,0,2,-0.4129202803998143,0.24236252545824846
1,3,female,0.668391756456122,1,5,0.00382898131649099,S,0,3.159833412386169,0,-0.5173308481720477,Mrs,Adult,Unknown,VHigh,1,False,False,True,False,False,True,False,2,3,-0.4129202803998143,0.24236252545824846
0,3,male,-0.3092756154954493,0,0,-0.564697019158608,C,0,-0.5609748304808926,1,-0.42071519553533004,Mr,Adult,Unknown,Low,0,True,False,False,False,True,False,False,2,0,-0.4129202803998143,0.24236252545824846
0,1,male,-0.7605067102423284,3,2,5.124238728242953,S,1,2.539698705241659,0,0.787426123888799,Mr,Adult,Known,VHigh,0,False,False,True,False,True,False,False,2,3,1.1503396270376525,0.6296296296296297
1,3,female,-0.5724937540977955,0,0,-0.5493041703428476,Q,0,-0.5609748304808926,1,-0.3976563436950911,Miss,Adult,Unknown,Low,1,False,True,False,True,False,False,False,2,0,-0.4129202803998143,0.24236252545824846
0,3,male,-0.3092756154954493,0,0,-0.5489135844511607,S,0,-0.5609748304808926,1,-0.3970712367850514,Mr,Adult,Unknown,Low,0,False,False,True,False,True,False,False,2,0,-0.4129202803998143,0.24236252545824846
0,1,male,0.8188021213717485,0,0,-0.08244579513222272,C,0,-0.5609748304808926,1,0.301708551861749,Rare,Adult,Unknown,High,0,True,False,False,False,False,False,True,2,2,1.1503396270376525,0.6296296296296297
1,1,female,0.4427762090826825,1,0,2.7128315501938722,C,1,0.059159876663617654,0,1.9068612410450951,Mrs,Adult,Known,VHigh,1,True,False,False,False,False,True,False,2,3,1.1503396270376525,0.6296296296296297
